Lot,Wafer,Mask,TestSite,Name,Date,Row,Column,ErrorFlag,Error description,Analysis Wavelength,Rsq of Ref. spectrum (Nth),Max transmission of Ref. spec. (dB),Rsq of IV,I at -1V [A],I at 1V[A]
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,2019-07-15 19:15:38,-1,-1,0,No Error,1550,0.9984335208014982,-7.706903457641602,0.9924750207157573,2.603237e-08,-0.006701705
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,2019-07-15 19:21:45,-1,-3,0,No Error,1550,0.9972272301211585,-8.910146713256836,0.9925855526946208,4.890819e-08,-0.006328398
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,2019-07-15 20:22:17,-1,3,0,No Error,1550,0.9971718109814895,-9.376518249511719,0.9925710880162192,4.591942e-08,-0.006375596
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,2019-07-15 19:51:42,-3,-3,0,No Error,1550,0.9961624600163337,-8.18753433227539,0.992642945671886,5.465495e-08,-0.006316235
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,2019-07-15 19:39:43,-3,0,0,No Error,1550,0.998104226364979,-8.77216625213623,0.9925682388313186,4.814727e-08,-0.006532866
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,2019-07-15 20:28:35,-3,2,0,No Error,1550,0.9988762152210016,-9.400176048278809,0.9926899177034093,6.663287e-08,-0.006519705
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,2019-07-15 19:45:43,-4,-1,0,No Error,1550,0.9951006169286621,-9.466469764709473,0.992764275755433,7.783068e-08,-0.006401758
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,2019-07-15 19:57:51,0,-4,0,No Error,1550,0.9971876234594892,-9.5784330368042,0.9927207805394785,6.760271e-08,-0.006039913
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,2019-07-15 19:09:27,0,0,0,No Error,1550,0.9985871268526848,-7.655776023864746,0.9923987474306705,8.955287e-09,-0.006707282
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,2019-07-15 19:33:43,0,2,0,No Error,1550,0.9973770376145548,-7.897572994232178,0.9925414906204508,4.150557e-08,-0.006591849
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,2019-07-15 19:27:43,2,-1,0,No Error,1550,0.9983006646728755,-8.010892868041992,0.9925709431437608,4.594612e-08,-0.006384568
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,2019-07-15 20:03:55,2,-3,0,No Error,1550,0.9982132217819535,-9.296346664428711,0.9926759059002802,6.184592e-08,-0.006069297
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,2019-07-15 20:15:53,2,2,0,No Error,1550,0.9967785815409618,-8.184820175170898,0.9925795606144743,4.804727e-08,-0.006130083
P184640,D07,GORILLA5,DCM_LMZC,MZMCTE_LULAB_450_500,2019-07-15 20:09:55,3,0,0,No Error,1550,0.9989504777078133,-8.617244720458984,0.9925891115070946,4.971618e-08,-0.005950628
